fid,공공문화체육
4439,1
4441,0
4442,0
4443,0
4444,0
4445,0
4446,0
4447,0
4448,1
4449,0
4452,0
4453,0
4454,0
4455,2
4456,0
4457,0
4458,0
4462,0
4463,4
4464,1
4465,0
4466,0
4467,0
4468,0
4469,0
4470,0
4471,0
4472,0
4510,0
4511,0
4512,0
4513,0
4514,4
4515,1
4516,0
4517,1
4518,1
4519,0
4520,1
4521,0
4522,4
4523,0
4524,1
4525,0
4526,0
4528,0
4529,0
4530,2
4531,4
4532,2
4533,1
4537,0
4538,0
4539,6
4540,0
4541,2
4542,0
4543,0
4544,1
4545,1
4546,0
4547,0
4584,4
4585,0
4586,3
4587,1
4588,0
4589,2
4590,1
4591,3
4592,0
4593,1
4594,3
4595,0
4596,1
4597,1
4598,0
4599,1
4600,1
4601,0
4602,0
4603,0
4604,0
4605,2
4606,0
4607,1
4608,2
4609,0
4613,0
4614,1
4615,0
4616,0
4617,2
4618,0
4619,0
4620,0
4621,0
4622,3
4623,0
4652,0
4653,0
4659,2
4660,0
4661,0
4662,0
4663,1
4664,0
4665,0
4666,1
4667,2
4668,1
4669,0
4670,0
4671,0
4672,0
4673,0
4674,1
4675,0
4676,0
4677,3
4678,0
4679,0
4680,0
4681,1
4682,0
4683,1
4688,0
4689,2
4690,0
4691,0
4692,1
4693,0
4694,1
4695,1
4696,2
4697,0
4698,1
4723,0
4725,1
4728,0
4729,1
4730,0
4731,1
4735,0
4736,1
4737,0
4738,0
4739,0
4740,0
4741,0
4742,2
4743,1
4744,1
4745,1
4746,0
4747,3
4748,2
4749,0
4750,3
4751,0
4752,1
4753,1
4754,2
4755,1
4757,3
4758,1
4759,0
4764,1
4765,2
4766,0
4767,0
4768,1
4769,1
4770,1
4771,0
4772,0
4773,1
4774,1
4800,0
4801,1
4802,0
4803,0
4804,0
4805,4
4806,0
4807,0
4808,1
4809,1
4810,3
4811,0
4812,3
4813,0
4814,0
4815,1
4816,2
4817,1
4818,1
4819,1
4820,2
4821,2
4822,3
4823,3
4824,4
4825,2
4826,4
4827,4
4828,2
4829,0
4830,1
4831,1
4832,1
4833,0
4838,0
4839,1
4840,1
4841,0
4842,2
4843,2
4844,0
4845,0
4846,1
4847,0
4848,0
4849,0
4880,1
4881,0
4882,0
4883,2
4884,4
4885,2
4886,4
4887,3
4888,1
4889,1
4890,2
4891,0
4892,1
4893,0
4894,0
4895,0
4896,0
4897,1
4898,0
4899,0
4900,1
4901,1
4902,0
4903,1
4904,0
4905,5
4906,1
4907,0
4908,1
4909,0
4914,0
4915,0
4916,0
4917,0
4918,1
4919,0
4920,2
4921,0
4922,0
4923,1
4924,0
4925,0
4926,0
4953,0
4954,1
4955,0
4956,0
4957,0
4958,0
4959,0
4960,1
4961,1
4962,2
4963,0
4964,3
4965,2
4966,3
4967,0
4968,0
4969,2
4970,1
4971,0
4972,1
4973,0
4974,1
4975,1
4976,0
4977,0
4978,5
4979,0
4980,2
4981,2
4982,1
4983,2
4988,0
4989,2
4990,0
4991,0
4992,0
4993,0
4994,0
4995,1
4996,3
4997,0
4998,0
4999,0
5000,1
5001,2
5002,0
5003,1
5006,3
5028,2
5029,1
5030,0
5031,2
5032,2
5033,0
5034,0
5035,0
5036,1
5037,1
5038,0
5039,0
5040,2
5041,0
5042,0
5043,3
5044,2
5045,0
5046,2
5050,0
5051,1
5052,4
5053,0
5054,2
5055,0
5056,0
5057,1
5058,0
5059,1
5064,0
5065,0
5066,1
