fid,도로길이,도로개수
1871,4616.76378052006,48
1872,4322.84652002327,40
1873,3979.92462462176,29
1874,3325.67622183798,19
1875,646.59731565888,6
1876,914.190859122161,4
1877,734.373618850619,2
1878,2605.04883948196,17
1879,2606.87829305523,19
1880,1366.31022201427,9
1881,1343.78488588126,7
1882,1783.09706739398,9
1935,2026.37895872072,7
1940,2110.80623913077,14
1941,3400.82218746169,37
1942,4594.22682410694,40
1943,3055.12752977349,28
1944,4792.59049313829,46
1945,4402.8334565859,38
1946,4797.31484810387,45
1947,3902.60496021056,28
1948,1063.18449235428,10
1949,2140.80983323392,15
1950,651.532780094647,2
1951,1052.60749128487,4
1952,807.172060190464,3
1953,1626.74464158804,15
1954,2012.50488161161,18
1955,3300.89330454285,41
1956,1637.29602901164,9
1957,228.608364404172,3
2012,1253.0124280046,4
2017,2035.5559548511,14
2018,2750.83803917383,25
2019,2686.9612856091,21
2020,2780.48669021967,30
2021,4453.32437056287,38
2022,3788.11313990566,36
2023,2108.92739991802,19
2024,703.671240272045,3
2025,1145.51213802016,7
2026,956.559918184786,5
2027,1946.12755526954,9
2028,793.689074113341,3
2029,1108.31250976767,6
2030,578.456876479081,5
2031,1662.22657945335,8
2032,2990.36234928754,16
2033,2129.62423553886,5
2087,0,0
2088,1110.61883604536,4
2093,1887.4709137628,10
2094,2132.588633382,13
2095,4576.84797052151,41
2096,2764.66198769391,28
2097,1852.80097806636,12
2098,319.405127835767,1
2099,1299.18336926556,5
2100,1047.32101560295,5
2101,3298.29553167968,25
2102,2416.02629868023,18
2103,2089.96176285106,18
2104,720.862700217627,4
2105,2526.36170131495,8
2106,2573.66461826622,11
2107,2113.23174472703,7
2108,1441.19591786106,7
2109,1820.6739613435,8
2110,1794.23425084441,8
2163,0,0
2164,0,0
2165,769.702802468056,2
2170,2519.08180126016,13
2171,3598.72225848461,30
2172,1866.67645119437,18
2173,845.922148132799,3
2174,607.194556309659,3
2175,1198.84967862289,5
2176,738.185709641761,5
2177,1666.31298948931,10
2178,3197.03102177266,28
2179,2407.05498674717,18
2180,1685.38709021068,5
2181,2860.91297315517,24
2182,3345.38937913214,31
2183,1401.7481853554,9
2184,1505.63204471422,10
2185,642.056401960261,8
2186,200.278550311481,2
2187,933.819199401405,5
2189,830.837799278775,3
2190,2172.98468770076,13
2236,712.367701830042,2
2237,1026.86750374662,4
2238,954.252397326566,3
2239,351.662812375502,1
2240,363.115594547384,1
2241,882.602913819975,3
2246,1410.75811183624,10
2247,2788.2009468362,20
2248,818.788273491921,5
2249,931.107034787873,3
2250,658.530075631914,2
2251,560.950114201817,2
2252,1365.2529702709,5
2253,2525.0960813649,12
2254,2042.58065146515,10
2255,2369.85890970903,17
2256,2385.81246312767,16
2257,3656.14904165537,42
2258,965.853065232344,11
2259,1921.25705608193,16
2260,3491.83013622092,43
2261,4968.79860495263,71
2262,5505.05638003727,76
2263,5939.3267473518,97
2264,4254.904465217,42
2265,1284.78090510805,10
2266,1005.12500129503,3
2267,1716.41228848001,6
2313,1537.29494778837,8
2314,1138.11116074715,8
2315,367.878997291551,1
2316,378.006773191961,2
2317,0,0
2318,411.468626684262,2
2323,812.154926396699,3
2324,1079.32100852973,5
