,fid,연면적
512,2697,2823.883214285714
513,2698,1858.3611666666666
514,2699,516.9779366812227
515,2700,419.80468402777774
516,2701,340.10054104477615
517,2706,555.8848148148148
518,2707,2635.6815298507463
519,2708,2306.112478735632
520,2709,520.782893982808
521,2710,870.1872232142857
522,2711,3606.2668344370863
523,2712,1077.6223018867925
524,2713,388.012632
525,2714,273.90737704918035
526,2715,310.36850715746425
527,2716,175.8682256699577
528,2717,366.3536354961832
529,2718,379.7083521444695
530,2719,966.2948006644518
531,2720,1106.1364619565218
532,2721,824.7725632911392
533,2722,484.13714318181815
534,2723,458.8235946745562
535,2724,368.42762673076925
536,2725,287.58571874999996
537,2726,439.6283563218391
538,2727,322.51013559322035
539,2728,338.0762146788991
540,2729,308.194625
541,2730,283.703300589391
542,2731,962.1300675675676
543,2732,645.5399360902255
544,2760,690.5892635658914
545,2761,779.6721400778209
546,2762,940.305968992248
547,2763,642.2811333333333
548,2764,593.4771907216494
549,2765,930.9735682819384
550,2766,605.917621483376
551,2767,672.1371317829457
552,2768,425.3207277628032
553,2769,541.4669454545455
554,2770,331.73905688622756
555,2771,730.8825561797753
556,2772,7132.540588235294
557,2773,1139.3704686346864
558,2774,373.05734806629835
559,2775,490.4336583333333
560,2776,563.5761
561,2777,393.21470888157893
562,2778,396.64772151898734
563,2779,713.7788710144928
564,2784,3005.0152325581394
565,2785,1045.2222723404254
566,2786,364.47553666666664
567,2787,715.4912678185746
568,2788,1426.2842701863356
569,2789,227.93298761609907
570,2790,257.49529605263155
571,2791,347.3554800578035
572,2792,575.6358383763838
573,2793,771.836359133127
574,2794,1020.4872936170212
575,2795,596.1540731070496
576,2796,847.3460734265734
577,2797,606.0632068965517
578,2798,995.820172413793
579,2799,660.7702258064515
580,2800,11334.446666666665
581,2801,625.3003278688525
582,2802,2119.854074074074
583,2803,653.2879448275862
584,2804,378.45629870129875
585,2805,408.5992054176072
586,2806,447.8281657743786
587,2834,828.7873871244635
588,2835,629.381324742268
589,2836,499.3482989690722
590,2837,505.85283687943263
591,2838,505.97964125560543
592,2839,476.5771876826722
593,2840,562.7283658536586
594,2841,484.6031400437637
595,2842,504.8821351351352
596,2843,349.21307125307123
597,2844,412.38932727272726
598,2845,417.55023124042873
599,2846,335.4907950310559
600,2847,4638.975925925926
601,2848,2052.533688172043
602,2849,712.5088695652174
603,2850,731.0812267657993
604,2851,746.2583734939759
605,2852,457.3244861660079
606,2853,872.8547877984086
607,2854,4575.563158415842
608,2855,445.94633846153846
609,2859,16303.435714285717
610,2860,23938.058333333334
611,2861,1568.6734782608694
612,2862,996.20235
613,2863,1091.293275
614,2864,247.5442891373802
615,2865,254.32520220588236
616,2866,372.55240847784205
617,2867,295.54686484210526
618,2868,609.7349436090226
619,2869,6557.59651
620,2870,3129.431066666667
621,2871,298.5086018957346
622,2872,561.4564229765012
623,2873,572.3246726190476
