fid,횡단보도개수
3293,21
3294,10
3295,25
3296,21
3298,2
3299,17
3300,2
3301,23
3302,14
3303,12
3304,12
3307,19
3308,33
3309,30
3310,27
3311,18
3317,5
3318,7
3319,12
3320,5
3321,0
3322,17
3323,9
3324,1
3325,0
3326,0
3327,0
3328,12
3329,0
3330,10
3331,11
3332,17
3333,1
3334,0
3361,19
3375,11
3377,5
3379,2
3384,20
3385,13
3387,22
3388,22
3395,20
3396,0
3397,16
3398,4
3399,24
3400,9
3401,0
3403,4
3404,13
3405,12
3406,20
3407,4
3408,12
3409,6
3410,0
3411,0
3450,15
3451,13
3452,13
3456,0
3460,24
3461,7
3462,15
3463,19
3464,40
3465,29
3471,0
3472,14
3473,7
3474,26
3475,20
3476,20
3477,6
3478,10
3479,10
3480,6
3481,11
3482,17
3484,2
3485,0
3524,1
3525,16
3526,31
3527,14
3528,12
3529,9
3532,0
3533,0
3536,18
3537,23
3538,27
3539,2
3540,52
3541,39
3542,17
3548,0
3549,5
3550,21
3551,25
3552,14
3553,5
3554,15
3555,24
3556,15
3557,20
3558,5
3559,0
3560,0
3561,7
3601,13
3602,3
3604,7
3610,15
3611,14
3612,20
3613,11
3614,24
3615,26
3616,51
3617,8
3618,18
3619,8
3624,24
3625,11
3626,19
3627,1
3628,19
3629,20
3630,3
3631,15
3632,9
3633,21
3634,11
3635,14
3636,1
3673,0
3683,8
3684,3
3686,0
3687,9
3688,34
3689,36
3690,35
3691,19
3692,18
3693,22
3694,10
3695,11
3696,4
3697,3
3701,9
3702,4
3704,3
3705,1
3706,17
3707,11
3708,22
3709,6
3710,15
3711,0
3712,0
3713,4
3750,14
3751,0
3752,10
3759,5
3760,23
3761,6
3762,4
3763,0
3764,14
3765,28
3766,14
3767,15
3768,2
3769,27
3770,20
3771,11
3772,0
3773,4
3777,13
3778,28
3779,15
3780,14
3781,9
3782,6
3783,11
3784,17
3785,0
3786,22
3787,3
3788,4
3827,11
3828,3
3829,4
3834,3
3835,1
3836,11
3837,23
3838,34
3839,29
3840,20
3841,11
3842,20
3843,16
3844,13
3845,15
3846,19
3847,29
3848,0
3849,19
3850,22
3854,23
3855,5
3856,3
3857,0
3858,4
3859,12
3860,8
3861,0
3862,7
3863,26
3864,0
3865,2
3902,4
3907,5
3908,5
3909,5
3910,8
3911,6
3912,4
3913,31
3914,34
3915,18
3916,19
3917,22
3918,0
3919,4
3920,0
3921,19
3922,10
3923,10
3924,28
3925,17
3926,15
3930,16
3931,0
3932,0
3933,0
3934,1
3935,5
3936,13
3937,10
3938,0
3939,7
3940,1
3977,0
3978,0
3984,5
3985,25
3986,16
3987,18
3988,20
3989,20
3990,11
3991,38
3992,24
3993,18
3994,12
3995,16
3996,20
3997,19
3998,26
3999,18
4000,12
4001,7
4002,24
4003,17
4007,5
4008,0
4009,0
4010,0
4011,19
4012,7
4013,9
4014,1
4015,4
4016,0
4052,0
4053,5
4060,3
4061,5
4062,6
4063,24
4064,25
4065,16
4066,25
4067,32
4068,40
4069,27
4070,18
4071,5
4072,2
4073,4
4074,26
4075,2
4076,0
4077,0
4078,31
4079,1
4083,2
4084,0
4085,0
4086,12
4087,22
4088,16
4089,0
4090,5
4091,3
4092,0
4129,2
4136,0
4137,4
4138,5
4139,11
4140,39
4141,43
4142,42
4143,26
4144,25
4145,17
4146,13
4147,11
4148,10
4149,0
4150,0
4151,9
4152,0
4153,0
4154,1
4155,12
4160,1
4161,0
4162,4
4163,0
4164,0
4165,25
4166,2
4167,17
4168,0
4211,2
4212,10
4213,10
4214,8
4215,16
4216,28
4217,43
4218,11
4219,42
4220,15
4221,10
4222,7
4223,12
4224,0
4225,0
4226,4
4227,0
4228,0
4229,0
4230,0
4231,7
4235,0
4236,9
4237,11
4238,19
4239,15
4240,29
4241,39
4242,36
4243,9
4244,9
4288,6
4289,3
4290,11
4291,18
4292,12
4293,29
4294,42
4295,14
4296,12
4300,3
4301,4
4302,5
4303,8
4304,0
4305,0
4306,0
4307,4
4311,6
4312,11
4313,21
4314,12
4315,17
4316,45
4317,6
4318,7
4319,14
4361,4
4362,10
4364,0
4365,0
4366,10
4367,11
4368,28
4369,35
4370,36
4371,32
4372,1
4374,0
4375,0
4376,6
4377,4
