fid,ID,Area
2479,생활서비스시설_공원_1414,576.038
2481,생활서비스시설_공원_1414,402.100
2483,생활서비스시설_공원_1414,11737.319
2484,생활서비스시설_공원_1414,13156.705
2488,생활서비스시설_공원_1414,13017.440
2489,생활서비스시설_공원_1414,402.637
2490,생활서비스시설_공원_1414,629.732
2491,생활서비스시설_공원_1414,7133.018
2495,생활서비스시설_공원_1414,759.787
2496,생활서비스시설_공원_1414,2117.388
2497,생활서비스시설_공원_1414,757.869
2498,생활서비스시설_공원_1414,948.567
2500,생활서비스시설_공원_1414,9307.532
2501,생활서비스시설_공원_1414,10493.146
2540,생활서비스시설_공원_1414,50496.826
2543,생활서비스시설_공원_1414,2716.724
2545,생활서비스시설_공원_1414,16952.165
2546,생활서비스시설_공원_1414,123690.271
2547,생활서비스시설_공원_1414,43913.266
2548,생활서비스시설_공원_1414,10908.007
2553,생활서비스시설_공원_1414,2866.706
2557,생활서비스시설_공원_1414,10837.352
2559,생활서비스시설_공원_1414,275.769
2561,생활서비스시설_공원_1414,163.453
2563,생활서비스시설_공원_1414,904.975
2564,생활서비스시설_공원_1414,8803.360
2565,생활서비스시설_공원_1414,1456.949
2566,생활서비스시설_공원_1414,90.755
2567,생활서비스시설_공원_1414,297.505
2570,생활서비스시설_공원_1414,135.793
2571,생활서비스시설_공원_1414,98.430
2577,생활서비스시설_공원_1414,6273.997
2617,생활서비스시설_공원_1414,73782.875
2618,생활서비스시설_공원_1414,6243.604
2619,생활서비스시설_공원_1414,182.017
2620,생활서비스시설_공원_1414,2945.912
2621,생활서비스시설_공원_1414,6995.553
2622,생활서비스시설_공원_1414,7518.380
2623,생활서비스시설_공원_1414,21584.025
2624,생활서비스시설_공원_1414,3631.230
2625,생활서비스시설_공원_1414,1122.070
2630,생활서비스시설_공원_1414,2753.711
2631,생활서비스시설_공원_1414,520.464
2632,생활서비스시설_공원_1414,2124.249
2639,생활서비스시설_공원_1414,2201.002
2641,생활서비스시설_공원_1414,5288.609
2642,생활서비스시설_공원_1414,1650.218
2645,생활서비스시설_공원_1414,615.153
2646,생활서비스시설_공원_1414,316.506
2647,생활서비스시설_공원_1414,2800.661
2648,생활서비스시설_공원_1414,857.884
2649,생활서비스시설_공원_1414,989.109
2650,생활서비스시설_공원_1414,382.241
2651,생활서비스시설_공원_1414,1651.384
2652,생활서비스시설_공원_1414,981.330
2654,생활서비스시설_공원_1414,6.730
2655,생활서비스시설_공원_1414,1143.761
2656,생활서비스시설_공원_1414,5658.979
2657,생활서비스시설_공원_1414,8846.225
2691,생활서비스시설_공원_1414,102415.459
2692,생활서비스시설_공원_1414,91914.396
2693,생활서비스시설_공원_1414,22461.067
2694,생활서비스시설_공원_1414,1009.669
2695,생활서비스시설_공원_1414,123.266
2696,생활서비스시설_공원_1414,250.514
2698,생활서비스시설_공원_1414,10274.240
2701,생활서비스시설_공원_1414,319.098
2706,생활서비스시설_공원_1414,14824.851
2708,생활서비스시설_공원_1414,117.906
2709,생활서비스시설_공원_1414,1543.539
2710,생활서비스시설_공원_1414,3638.023
2713,생활서비스시설_공원_1414,5576.294
2714,생활서비스시설_공원_1414,605.977
2715,생활서비스시설_공원_1414,9839.779
2716,생활서비스시설_공원_1414,4034.638
2718,생활서비스시설_공원_1414,7158.277
2719,생활서비스시설_공원_1414,383.512
2721,생활서비스시설_공원_1414,343.905
2722,생활서비스시설_공원_1414,2550.425
2723,생활서비스시설_공원_1414,32591.792
2724,생활서비스시설_공원_1414,12976.076
2725,생활서비스시설_공원_1414,2741.496
2726,생활서비스시설_공원_1414,10746.596
2727,생활서비스시설_공원_1414,1427.033
2728,생활서비스시설_공원_1414,938.210
2729,생활서비스시설_공원_1414,1748.990
2731,생활서비스시설_공원_1414,5713.626
2732,생활서비스시설_공원_1414,1786.820
2760,생활서비스시설_공원_1414,11264.341
2761,생활서비스시설_공원_1414,441.064
2762,생활서비스시설_공원_1414,398.038
2765,생활서비스시설_공원_1414,194.601
2766,생활서비스시설_공원_1414,1198.090
2767,생활서비스시설_공원_1414,1839.328
2768,생활서비스시설_공원_1414,24368.655
2769,생활서비스시설_공원_1414,1005.202
2770,생활서비스시설_공원_1414,1238.373
2772,생활서비스시설_공원_1414,197.058
2773,생활서비스시설_공원_1414,4434.632
2774,생활서비스시설_공원_1414,7722.023
2775,생활서비스시설_공원_1414,1493.820
2777,생활서비스시설_공원_1414,743.764
2778,생활서비스시설_공원_1414,1376.280
2779,생활서비스시설_공원_1414,9557.345
2784,생활서비스시설_공원_1414,3.810
2785,생활서비스시설_공원_1414,936.536
2788,생활서비스시설_공원_1414,27233.407
2789,생활서비스시설_공원_1414,3093.249
2790,생활서비스시설_공원_1414,1464.352
2792,생활서비스시설_공원_1414,9175.142
2793,생활서비스시설_공원_1414,279.331
2796,생활서비스시설_공원_1414,1028.915
2799,생활서비스시설_공원_1414,56972.845
2800,생활서비스시설_공원_1414,134759.579
2801,생활서비스시설_공원_1414,122301.885
2802,생활서비스시설_공원_1414,101523.812
2803,생활서비스시설_공원_1414,18528.823
2804,생활서비스시설_공원_1414,95479.334
2805,생활서비스시설_공원_1414,23448.726
2835,생활서비스시설_공원_1414,1392.023
2836,생활서비스시설_공원_1414,259.727
2838,생활서비스시설_공원_1414,456.954
2840,생활서비스시설_공원_1414,969.369
2841,생활서비스시설_공원_1414,946.871
2844,생활서비스시설_공원_1414,880.580
2845,생활서비스시설_공원_1414,801.663
2847,생활서비스시설_공원_1414,472.493
2848,생활서비스시설_공원_1414,1598.279
2849,생활서비스시설_공원_1414,3311.995
2850,생활서비스시설_공원_1414,2726.403
2853,생활서비스시설_공원_1414,2080.496
2855,생활서비스시설_공원_1414,24591.779
2859,생활서비스시설_공원_1414,193.331
2862,생활서비스시설_공원_1414,6009.612
2863,생활서비스시설_공원_1414,19291.126
2864,생활서비스시설_공원_1414,15119.642
2866,생활서비스시설_공원_1414,162.893
2867,생활서비스시설_공원_1414,1960.498
2869,생활서비스시설_공원_1414,4179.506
2870,생활서비스시설_공원_1414,37788.358
2871,생활서비스시설_공원_1414,140.287
2873,생활서비스시설_공원_1414,1981.955
2874,생활서비스시설_공원_1414,149.148
2875,생활서비스시설_공원_1414,68387.156
2876,생활서비스시설_공원_1414,114828.106
2877,생활서비스시설_공원_1414,136444.330
2878,생활서비스시설_공원_1414,86948.338
2880,생활서비스시설_공원_1414,123798.455
2881,생활서비스시설_공원_1414,7092.763
2910,생활서비스시설_공원_1414,1928.183
2911,생활서비스시설_공원_1414,1270.638
2912,생활서비스시설_공원_1414,1505.415
2914,생활서비스시설_공원_1414,1326.101
2915,생활서비스시설_공원_1414,1919.152
2918,생활서비스시설_공원_1414,1021.405
2921,생활서비스시설_공원_1414,1514.853
2922,생활서비스시설_공원_1414,1901.477
2923,생활서비스시설_공원_1414,632.097
2924,생활서비스시설_공원_1414,284.673
2925,생활서비스시설_공원_1414,1009.029
2926,생활서비스시설_공원_1414,4869.991
2927,생활서비스시설_공원_1414,986.303
2928,생활서비스시설_공원_1414,103.015
2930,생활서비스시설_공원_1414,1796.520
2935,생활서비스시설_공원_1414,56962.117
2938,생활서비스시설_공원_1414,28765.500
2940,생활서비스시설_공원_1414,514.359
2941,생활서비스시설_공원_1414,1098.286
2942,생활서비스시설_공원_1414,12789.307
2943,생활서비스시설_공원_1414,20322.924
2944,생활서비스시설_공원_1414,180.967
2945,생활서비스시설_공원_1414,7701.010
2946,생활서비스시설_공원_1414,42903.832
2947,생활서비스시설_공원_1414,81876.689
2948,생활서비스시설_공원_1414,869.366
2949,생활서비스시설_공원_1414,12511.402
2950,생활서비스시설_공원_1414,68685.721
2951,생활서비스시설_공원_1414,888.397
2952,생활서비스시설_공원_1414,47106.712
2954,생활서비스시설_공원_1414,81000.759
2955,생활서비스시설_공원_1414,59634.479
2957,생활서비스시설_공원_1414,96135.758
2985,생활서비스시설_공원_1414,867.715
2987,생활서비스시설_공원_1414,2082.579
2988,생활서비스시설_공원_1414,4226.699
2989,생활서비스시설_공원_1414,182.254
2990,생활서비스시설_공원_1414,244.328
2992,생활서비스시설_공원_1414,1050.963
2993,생활서비스시설_공원_1414,982.728
2996,생활서비스시설_공원_1414,204.041
2997,생활서비스시설_공원_1414,1329.068
2998,생활서비스시설_공원_1414,3031.316
2999,생활서비스시설_공원_1414,1811.842
3000,생활서비스시설_공원_1414,210.328
3001,생활서비스시설_공원_1414,28222.357
3002,생활서비스시설_공원_1414,189.396
3003,생활서비스시설_공원_1414,946.178
3005,생활서비스시설_공원_1414,2267.346
3006,생활서비스시설_공원_1414,903.582
