fid,2017공시지가_avg_Land_Value,2017공시지가_avg_Land_Value_2
1559,3378047.57771216,3561110.93456766
1634,3470934.28446356,3561110.93456766
1633,2956693.74069401,3561110.93456766
1557,3561925.59537261,3561110.93456766
1560,3803775.11631026,3378047.57771216
1635,3136698.37906753,3378047.57771216
1634,3470934.28446356,3378047.57771216
1558,3561110.93456766,3378047.57771216
1561,792493.408847811,3803775.11631026
1636,3744643.91897879,3803775.11631026
1635,3136698.37906753,3803775.11631026
1559,3378047.57771216,3803775.11631026
1562,1091358.11383317,792493.408847811
1560,3803775.11631026,792493.408847811
1637,3462706.76666485,792493.408847811
1636,3744643.91897879,792493.408847811
1563,2238556.44149301,1091358.11383317
1561,792493.408847811,1091358.11383317
1638,2697464.16865,1091358.11383317
1637,3462706.76666485,1091358.11383317
1564,2445798.39180169,2238556.44149301
1562,1091358.11383317,2238556.44149301
1639,1697404.06352836,2238556.44149301
1638,2697464.16865,2238556.44149301
1565,1756542.80437439,2445798.39180169
1563,2238556.44149301,2445798.39180169
1640,1302344.84659313,2445798.39180169
1639,1697404.06352836,2445798.39180169
1566,1479649.08516028,1756542.80437439
1564,2445798.39180169,1756542.80437439
1641,1445527.84238073,1756542.80437439
1640,1302344.84659313,1756542.80437439
1567,2670906.96517011,1479649.08516028
1565,1756542.80437439,1479649.08516028
1642,1789240.00439451,1479649.08516028
1641,1445527.84238073,1479649.08516028
1568,2948337.58157551,2670906.96517011
1566,1479649.08516028,2670906.96517011
1643,2532589.08835651,2670906.96517011
1642,1789240.00439451,2670906.96517011
1569,1870996.49976072,2948337.58157551
1567,2670906.96517011,2948337.58157551
1644,2185930.54125367,2948337.58157551
1643,2532589.08835651,2948337.58157551
1570,2374867.4673723,1870996.49976072
1568,2948337.58157551,1870996.49976072
1645,2297330.29098831,1870996.49976072
1644,2185930.54125367,1870996.49976072
1571,3195009.83729218,2374867.4673723
1569,1870996.49976072,2374867.4673723
1646,3342684.27375361,2374867.4673723
1645,2297330.29098831,2374867.4673723
1570,2374867.4673723,3195009.83729218
1572,1051947.26797553,3195009.83729218
1647,2647461.20559347,3195009.83729218
1646,3342684.27375361,3195009.83729218
1571,3195009.83729218,1051947.26797553
1573,1238748.06575982,1051947.26797553
1648,654163.725220808,1051947.26797553
1647,2647461.20559347,1051947.26797553
1572,1051947.26797553,1238748.06575982
1574,1545956.3863443,1238748.06575982
1648,654163.725220808,1238748.06575982
1649,885898.354759651,1238748.06575982
1573,1238748.06575982,1545956.3863443
1575,1785969.16635528,1545956.3863443
1649,885898.354759651,1545956.3863443
1650,1336827.26189197,1545956.3863443
1574,1545956.3863443,1785969.16635528
1576,2094703.34798301,1785969.16635528
1650,1336827.26189197,1785969.16635528
1651,2416542.66153672,1785969.16635528
1575,1785969.16635528,2094703.34798301
1577,2790848.34360401,2094703.34798301
1651,2416542.66153672,2094703.34798301
1652,2013032.15558367,2094703.34798301
