InputID,TargetID,Distance
2407,목동IC,1556.88098397382
2408,목동IC,1956.05470042727
2409,목동IC,2355.55827351991
2410,오류나들목,2374.3374000426
2411,오류나들목,2012.84018505061
2412,오류나들목,1669.07335817653
2413,오류나들목,1356.58353316908
2414,오류나들목,1102.29970199048
2415,오류나들목,953.961805617447
2416,오류나들목,961.901431095362
2417,시흥나들목,864.005804708804
2418,시흥나들목,851.989065915407
2419,시흥나들목,1012.66885205722
2420,금천나들목,1119.36184512352
2421,금천나들목,721.905712974171
2422,금천나들목,334.741565553722
2423,금천나들목,135.714652902809
2465,가양대교분기점,2596.29694396979
2466,가양대교분기점,2482.14152528832
2467,가양대교분기점,2429.30600761209
2469,염창분기점,2218.74544621932
2470,염창분기점,1888.62293250245
2471,양평2나들목,1728.45077183486
2477,양평1나들목,665.514871488328
2478,목동IC,686.580466679129
2479,목동IC,335.23362903085
2480,목동IC,271.300162671309
2481,목동IC,595.868537429926
2482,목동IC,978.135058620984
2483,목동IC,1370.64598465416
2484,목동IC,1766.5859675972
2485,목동IC,2164.07367939691
2486,목동IC,2562.3889521423
2487,오류나들목,2360.87026902947
2488,오류나들목,2036.63243134226
2489,오류나들목,1744.20978808396
2490,시흥나들목,1697.82369228344
2491,시흥나들목,1319.53282027351
2492,시흥나들목,959.146538194742
2493,시흥나들목,647.295098003533
2494,시흥나들목,488.112128782906
2495,시흥나들목,614.613375051866
2496,시흥나들목,915.139003354863
2497,금천나들목,946.059026755985
2498,금천나들목,568.613165203098
2499,금천나들목,268.043871052756
2500,금천나들목,374.976582711046
2501,금천나들목,718.773663165105
2540,가양대교분기점,2992.03680485567
2541,가양대교분기점,2865.73488484999
2542,염창분기점,3261.03107178637
2543,염창분기점,2911.66713721257
2544,양평2나들목,2775.78048007435
2545,양평2나들목,2386.67618378726
2546,양평2나들목,2001.92972327204
2547,양평2나들목,1624.64011569693
2548,양평2나들목,1261.51570425108
2553,목동IC,1023.23058065996
2554,목동IC,726.548526045739
2555,목동IC,573.566203844154
2556,목동IC,671.056711203557
2557,목동IC,944.399025330495
2558,목동IC,1285.9608930109
2559,목동IC,1654.00568546249
2560,목동IC,2034.2093517113
2561,목동IC,2420.8498622304
2562,목동IC,2811.27265026583
2563,시흥나들목,2630.49207463972
2564,시흥나들목,2231.02333759352
2565,시흥나들목,1831.85029444126
2566,시흥나들목,1433.22003188776
2567,시흥나들목,1035.7594356436
2568,시흥나들목,641.645811478938
2569,시흥나들목,266.185792940423
2570,시흥나들목,224.129862856577
2571,시흥나들목,591.478913016778
2572,시흥나들목,984.730523387108
2573,금천나들목,925.914453910636
2574,금천나들목,667.628118731525
2575,금천나들목,595.29027883444
2576,금천나들목,763.706232385822
2577,금천나들목,1064.1228241301
2617,연희나들목,3327.03118104136
2618,연희나들목,3084.73647840358
2619,연희나들목,2877.89799531211
2620,양평2나들목,3060.32803415691
2621,양평2나들목,2682.67699917055
2622,양평2나들목,2312.60409734043
2623,양평2나들목,1954.41888143163
2624,양평2나들목,1616.04524721529
2625,양평2나들목,1312.89182412418
2630,여의하류IC,977.731816430121
2631,여의하류IC,842.783883913594
2632,여의하류IC,885.914337928925
2633,여의하류IC,1086.11146864869
2634,목동IC,1322.48018835261
2635,목동IC,1634.28177280259
2636,목동IC,1978.13892662689
2637,목동IC,2339.96238194564
2638,목동IC,2712.57219637524
2639,시흥나들목,2834.25981114462
2640,시흥나들목,2435.34133263804
2641,시흥나들목,2036.90453172093
2642,시흥나들목,1639.30066544384
2643,시흥나들목,1243.32908256409
2644,시흥나들목,851.270626067599
2645,시흥나들목,472.958862333512
2646,시흥나들목,207.249674281796
2647,시흥나들목,427.140146632995
2648,시흥나들목,801.360666341615
2649,시흥나들목,1192.53640009362
2650,금천나들목,1067.63339297822
2651,금천나들목,942.532448906994
2652,금천나들목,978.328881716215
2653,금천나들목,1160.22455259439
2654,소하분기점,1416.37025919457
2655,소하분기점,1022.0278856119
2656,소하분기점,634.989151608099
2657,소하분기점,291.476976073149
2691,연희나들목,3514.98873283508
2692,연희나들목,3212.67099900723
2693,연희나들목,2933.87104600298
